site,transect,GIS_id,demog_id,window,max.ht,max.w,perp.w,max.ht.dead,max.w.dea,perp.w.dead,notes,outwindow
FPS,2,,,85,62,58,72,85,117,94,,
FPS,2,,,85,68,63,43,60,61,45,,
FPS,2,,,85,68,79,82,75,140,112,,
FPS,2,,,85,76,113,54,60,95,56,,
FPS,2,,,90,76,113,54,60,95,56,,
FPS,2,,,90,71,66,62,84,129,127,,
FPS,2,,,90,54,47,25,67,96,103,,
FPS,2,,,90,78,83,67,116,128,146,,
FPS,2,,,90,44,52,54,54,106,93,,
FPS,2,,,90,35,49,44,74,44,110,,
FPS,2,,,90,80,124,115,117,215,186,,
FPS,2,,,95,65,100,87,120,163,198,,
FPS,2,,,100,77,63,69,158,183,121,,
FPS,2,,2-100-1,100,107,174,106,139,241,212,,
FPS,2,,2-100-2,100,79,118,73,86,173,153,,
FPS,2,,2-100-4,100,89,65,50,111,132,132,,
FPS,2,,2-100-5,100,25,28,22,50,113,67,,
FPS,2,,2-100-6,100,58,26,25,72,115,56,,
FPS,2,,2-100-7,100,96,67,67,98,169,114,,
FPS,2,,2-100-8,100,111,96,84,180,277,175,,
FPS,2,,2-100-9,100,142,145,122,139,244,223,,
FPS,2,,,105,77,120,123,110,157,142,,
FPS,2,,2-100-10,105,93,160,176,131,200,177,,
FPS,2,,,110,78,148,136,143,260,305,,
FPS,2,,,110,80,136,119,103,175,136,,
FPS,2,,,110,54,78,60,68,149,130,,
FPS,2,,,110,113,120,106,148,244,215,,
FPS,2,,,115,132,168,190,165,245,210,,
FPS,2,,,115,73,82,68,48,119,114,,
FPS,2,,,110,56,38,24,47,128,30,,
FPS,2,,,115,105,130,72,102,160,200,,
FPS,2,,,130,92,109,91,91,196,179,,
FPS,2,,,140,35,38,38,31,51,42,,
FPS,2,,,140,85,124,96,118,204,200,,
FPS,2,,,140,98,49,107,194,245,200,,
FPS,2,,,140,91,114,57,118,184,226,,
FPS,2,,,145,97,136,102,130,129,179,,
FPS,2,,2-150-1,150,97,157,100,94,229,200,,
FPS,2,,2-150-2,150,53,69,60,38,72,72,,
FPS,2,,2-150-3,150,52,53,46,41,27,30,,
FPS,2,,2-150-4,150,41,53,40,23,27,21,,
FPS,2,,2-150-5,150,103,70,58,140,316,255,,
FPS,2,,2-150-6,150,53,55,41,0,0,0,,
FPS,2,,,155,57,86,81,0,0,0,,
FPS,2,,2-150-7,155,73,77,47,22,43,43,,
FPS,2,,2-150-10,155,47,49,47,28,22,12,,
FPS,2,,,155,36,164,174,161,181,30,,
FPS,2,,,155,64,61,53,97,157,157,,
FPS,2,,,155,59,81,77,47,84,49,,
FPS,2,,,155,59,85,73,0,0,0,,
FPS,2,,,155,59,104,89,18,80,25,,
FPS,2,,,160,75,68,50,43,63,43,,
FPS,2,,,160,82,87,68,70,87,78,,
FPS,2,,,160,72,97,82,16,47,40,,
FPS,2,,,160,80,115,94,51,134,97,,
FPS,2,,,160,63,90,59,67,118,89,,
FPS,2,,,160,49,47,19,20,60,18,,
FPS,2,,2-200-1,200,82,85,72,126,215,204,,
FPS,2,,2-200-3,200,65,70,56,73,176,95,,
FPS,2,,2-200-5,200,97,141,81,135,193,176,,
FPS,2,,,210,85,124,78,169,281,282,,
FPS,2,,,220,55,64,67,88,118,132,,
FPS,2,,,240,104,89,99,176,191,204,,
FPS,2,,,245,29,43,38,33,58,50,,
FPS,2,,2-250-1,250,23,36,39,22,37,12,,
FPS,2,,2-250-5,255,50,53,42,34,72,67,,
FPS,2,,2-250-7,255,36,54,51,30,90,74,,
FPS,2,,,260,23,33,26,0,0,0,,
FPS,2,,,265,44,90,75,73,151,160,,
FPS,2,,,270,68,90,71,137,217,149,,
FPS,2,,,270,59,80,71,47,142,210,,
FPS,2,,,270,88,140,155,155,216,177,,
FPS,2,,,275,86,104,143,155,261,224,,
FPS,2,,,275,82,128,79,156,182,160,,
FPS,2,,,280,90,185,123,106,197,141,,
FPS,2,,2-350-1,345,74,112,73,112,252,241,,
FPS,2,,2-500-1,490,56,84,59,63,162,107,,
FPS,3,,3-0-1,0,64,88,68,96,135,107,,
FPS,3,,3-0-4,0,62,100,58,49,125,74,,
FPS,3,,3-0-5,0,61,83,51,35,105,50,,
FPS,3,,3-0-6,0,54,88,37,60,85,60,,
FPS,3,,3-0-8,0,61,99,60,73,123,122,,
FPS,3,,3-0-9,0,84,69,48,58,80,47,,
FPS,3,,,5,38,34,33,13,40,18,,
FPS,3,,,5,70,67,33,58,109,74,,
FPS,3,,,5,63,77,68,71,126,155,,
FPS,3,,,5,80,104,45,82,110,132,,
FPS,3,,,5,93,142,96,64,131,120,,
FPS,3,,,5,23,9,7,32,23,13,,
FPS,3,,,5,52,97,45,63,129,97,,
FPS,3,,,5,65,72,68,68,137,72,,
FPS,3,,,5,73,86,60,63,96,77,,
FPS,3,,,10,49,35,16,33,33,45,,
FPS,3,,,10,39,34,25,84,133,129,,
FPS,3,,,10,64,53,28,52,79,62,,
FPS,3,,,10,31,69,17,69,166,132,,
FPS,3,,,15,73,110,49,101,173,170,,
FPS,3,,,15,42,76,29,48,114,70,,
FPS,3,,,15,41,61,55,66,103,93,,
FPS,3,,,15,41,42,35,51,76,78,,
FPS,3,,,15,43,33,33,85,153,161,,
FPS,3,,,15,12,14,9,11,24,29,,
FPS,3,,,20,33,24,23,62,129,98,,
FPS,3,,,20,31,64,67,45,98,101,,
FPS,3,,,20,15,15,12,21,26,12,,
FPS,3,,,20,68,43,40,57,127,78,,
FPS,3,,,20,45,48,13,40,31,17,,
FPS,3,,,20,47,86,50,87,144,92,,
FPS,3,,,25,11,17,10,13,20,9,,
FPS,3,,,25,24,39,33,32,62,49,,
FPS,3,,,25,10,9,7,15,18,16,,
FPS,3,,,25,8,5,11,12,7,4,,
FPS,3,,,25,16,11,8,21,12,9,,
FPS,3,,,25,10,10,7,11,10,8,,
FPS,3,,,25,19,30,23,35,25,31,,
FPS,3,,,25,7,9,7,7,10,5,,
FPS,3,,,25,11,16,12,13,18,16,,
FPS,3,,,25,42,89,75,18,12,17,,
FPS,3,,,25,23,24,24,37,51,37,,
FPS,3,,,25,33,35,34,46,108,85,,
FPS,3,,,25,18,13,8,7,7,12,,
FPS,3,,,25,16,21,15,20,57,36,,
FPS,3,,,25,18,18,7,0,0,0,,
FPS,3,,,30,19,27,29,31,70,53,,
FPS,3,,,30,11,17,15,26,31,41,,
FPS,3,,,30,21,35,19,15,19,24,,
FPS,3,,,30,7,9,6,18,13,10,,
FPS,3,,,30,20,27,20,29,47,35,,
FPS,3,,,30,38,49,34,58,103,78,,
FPS,3,,,30,12,10,7,13,23,7,,
FPS,3,,,30,16,9,6,16,25,10,,
FPS,3,,,30,20,26,17,30,46,21,,
FPS,3,,,30,31,29,30,40,67,66,,
FPS,3,,,30,18,21,15,23,45,26,,
FPS,3,,,30,29,18,18,30,37,25,,
FPS,3,,,30,13,15,17,29,33,17,,
FPS,3,,,30,21,31,23,34,65,48,,
FPS,3,,,30,41,79,90,42,63,85,,
FPS,3,,,30,19,24,17,21,23,21,,
FPS,3,,,30,35,58,47,64,108,75,,
FPS,3,,,30,22,33,17,29,57,32,,
FPS,3,,,30,44,48,45,24,52,49,,
FPS,3,,,30,21,26,25,29,57,46,,
FPS,3,,,30,24,19,12,23,29,13,,
FPS,3,,,30,47,19,15,14,13,29,,
FPS,3,,,30,20,22,16,25,17,11,,
FPS,3,,,30,72,58,55,102,100,124,,
FPS,3,,,30,97,86,77,57,117,88,,
